name,neighbourhood_cleansed,room_type,price,review_scores_rating,price_log
Hells Kitchen Garden of Eden,Hell's Kitchen,Private room,150,100,5.011
"Historic House Boerum Hill, BK, NYC",Boerum Hill,Entire home/apt,135,100,4.905
"Williamsburg HUGE, PRIVATE BATH - Next to Train!",Williamsburg,Private room,120,100,4.787
Cozy room in East Village with AC,East Village,Private room,75,100,4.317
Duplex w/ Terrace @ Box House Hotel,Greenpoint,Hotel room,349,100,5.855
Loft w/ Terrace @ Box House Hotel,Greenpoint,Private room,349,100,5.855
Spacious 3 Bedroom Duplex in Park Slope,Park Slope,Entire home/apt,165,100,5.106
Loft w/ Terrace @ Box House Hotel,Greenpoint,Private room,249,100,5.517
Columbia Castle in Brooklyn Heights,Brooklyn Heights,Private room,100,100,4.605
Columbia Castle 2 BR,Brooklyn Heights,Entire home/apt,200,100,5.298
"Charming Artist's Flat, East Village",East Village,Entire home/apt,169,100,5.130
BEAUTIFUL 2 BEDROOM APARTMENT,Bedford-Stuyvesant,Entire home/apt,185,100,5.220
Brooklyn Cove Studio Apt w/ Garden!!,Bushwick,Entire home/apt,65,100,4.174
"Ft. Greene garden gem, large and convenient",Fort Greene,Entire home/apt,130,100,4.868
East Village Designer's 1-BR APT,East Village,Entire home/apt,225,100,5.416
Superior @ Box House,Greenpoint,Hotel room,179,100,5.187
So Much Room in Brooklyn,Crown Heights,Entire home/apt,150,100,5.011
Large Studio--Heart of East Village,East Village,Entire home/apt,159,100,5.069
Huge.Bright.Clean.Safe. Private Room,Two Bridges,Private room,95,100,4.554
Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,Crown Heights,Entire home/apt,79,100,4.369
MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,Lower East Side,Entire home/apt,199,100,5.293
A Cozy Uptown Private Bedroom,East Harlem,Private room,69,100,4.234
"WONDERFUL, COMFORTABLE STUDIO",Bedford-Stuyvesant,Entire home/apt,90,100,4.500
MAISON DES SIRENES 2,Bedford-Stuyvesant,Entire home/apt,120,100,4.787
"Modern, Safe, Clean, Bright Room in Astoria for 2",Astoria,Private room,80,100,4.382
LARGE 1BR (CONV 2BR) CROWN HEIGHTS,Crown Heights,Entire home/apt,100,100,4.605
The Vernon On Greene,Bedford-Stuyvesant,Entire home/apt,175,100,5.165
"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",Crown Heights,Entire home/apt,120,100,4.787
Lovely 1BR in Tree-lined WBurg,Williamsburg,Entire home/apt,140,100,4.942
Spacious Loft in Clinton Hill,Bedford-Stuyvesant,Entire home/apt,200,100,5.298
"The Brooklyn Waverly, One Bedroom",Clinton Hill,Private room,165,100,5.106
Groovy NYC Chelsea Pad,Chelsea,Entire home/apt,130,100,4.868
Comfortable Cozy Space in El Barrio,East Harlem,Shared room,65,100,4.174
Sunny Bklyn Jewel  Fort Greene DEC  - FEB 2020,Fort Greene,Entire home/apt,123,100,4.812
"MANHATTAN Neat, Nice, Bright ROOM",Washington Heights,Private room,67,100,4.205
Bienvenue,Queens Village,Private room,50,100,3.912
Large Brand New Park Slope 1BR,Gowanus,Entire home/apt,130,100,4.868
Greenwich Village Brownstone -- Huge Private Deck,Chelsea,Entire home/apt,279,100,5.631
Colorful Artistic Williamsburg Apt,Williamsburg,Entire home/apt,100,100,4.605
UWS Brownstone Near Central Park,Upper West Side,Entire home/apt,212,100,5.357
Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,Williamsburg,Entire home/apt,250,100,5.521
2 BR w/ Terrace @ Box House Hotel,Greenpoint,Private room,599,100,6.395
BOHEMIAN EAST VILLAGE 2 BED HAVEN,East Village,Entire home/apt,249,100,5.517
Oceanfront Apartment in Rockaway,Rockaway Beach,Private room,70,100,4.248
Private 1-Bedroom Apt in Townhouse,Crown Heights,Entire home/apt,100,100,4.605
